Gender,Ethnicity,native English speaker,Country,stochastic repeat
M,W,Y,UK,1
M,W,Y,USA,1
F,W,Y,USA,1
M,W,N,France,1
F,NW,Y,UK,1
M,W,Y,UK,1
F,W,Y,USA,1
M,W,Y,USA,1
M,W,Y,USA,1
F,W,N,France,1
M,W,Y,UK,2
M,W,Y,USA,2
M,W,N,USA,2
M,W,N,France,2
M,W,Y,UK,2
F,W,Y,UK,2
M,W,Y,USA,2
F,W,Y,USA,2
F,W,N,France,2
F,NW,Y,UK,2
M,W,Y,UK,3
M,W,Y,USA,3
M,W,N,USA,3
M,W,Y,UK,3
M,W,N,France,3
M,W,Y,UK,3
M,W,Y,UK,3
F,NW,Y,UK,3
M,W,N,UK,3
M,W,Y,USA,3
M,W,Y,UK,4
M,W,Y,USA,4
M,W,Y,UK,4
M,W,Y,USA,4
M,W,N,France,4
M,W,N,USA,4
F,W,Y,USA,4
F,NW,Y,UK,4
M,W,Y,USA,4
F,W,Y,UK,4
M,W,Y,UK,5
M,W,Y,USA,5
F,W,Y,USA,5
M,W,N,France,5
M,W,Y,UK,5
F,NW,Y,UK,5
M,W,Y,USA,5
M,W,Y,USA,5
M,W,Y,USA,5
F,W,Y,USA,5
M,W,Y,UK,6
M,W,Y,USA,6
F,W,Y,Canada,6
M,W,Y,UK,6
M,W,N,France,6
M,W,Y,UK,6
M,W,Y,USA,6
M,W,N,USA,6
M,NW,N,China,6
F,NW,Y,UK,6
M,W,Y,UK,7
M,W,Y,USA,7
M,W,Y,UK,7
M,W,N,France,7
M,W,N,USA,7
F,W,Y,USA,7
M,W,Y,USA,7
M,W,Y,USA,7
M,W,Y,USA,7
F,W,Y,USA,7
M,W,Y,UK,8
M,W,Y,USA,8
M,W,N,France,8
M,W,N,USA,8
M,W,Y,UK,8
F,NW,Y,UK,8
M,W,Y,UK,8
M,W,Y,USA,8
M,W,Y,USA,8
M,W,Y,USA,8
M,W,Y,UK,9
M,W,Y,USA,9
M,W,N,France,9
M,W,N,USA,9
M,W,Y,UK,9
M,W,Y,UK,9
M,W,Y,USA,9
F,NW,Y,UK,9
M,W,Y,USA,9
M,W,Y,USA,9
M,W,Y,UK,10
M,W,Y,USA,10
M,W,N,France,10
M,W,Y,UK,10
M,W,N,USA,10
M,W,Y,USA,10
F,W,Y,USA,10
M,W,Y,USA,10
M,W,Y,USA,10
F,W,Y,USA,10
